시나리오ID,페이지,시나리오명,테스트케이스명,단계별 작업 수행내용,예상 결과,PASS/FAIL
TS-03-017,main.html,잔액 카드,충전하기 버튼 클릭,충전하기 버튼 클릭,payment-charge.html 페이지로 이동,
TS-03-021,main.html,헤더 액션,로그아웃 버튼 클릭,로그아웃 버튼 클릭,"localStorage 로그인 정보 삭제, index.html로 이동",
TS-04-001,message-send-general.html,페이지 접속,페이지 로드 확인,message-send-general.html 접속,일반문자 발송 페이지 정상 표시,
TS-04-002,message-send-general.html,탭 이동,광고문자 발송 탭 클릭,광고문자 발송 탭 클릭,message-send-ad.html 페이지로 이동,
TS-04-003,message-send-general.html,탭 이동,일반문자 템플릿 탭 클릭,일반문자 템플릿 탭 클릭,template-message.html 페이지로 이동,
TS-04-009,message-send-general.html,템플릿 불러오기,템플릿 불러오기 버튼 클릭,템플릿 불러오기 버튼 클릭,templateSelectModal 모달 열림,
TS-04-011,message-send-general.html,엑셀 업로드,엑셀 업로드 버튼 클릭,엑셀 업로드 버튼 클릭,excelUploadModal 모달 열림,
TS-04-013,message-send-general.html,테스트 발송,테스트 발송 버튼 클릭,테스트 발송 버튼 클릭,testSendModal 모달 열림,
TS-04-014,message-send-general.html,발송하기,발송하기 버튼 클릭,모든 필수 입력 후 발송하기 버튼 클릭,sendConfirmModal 모달 열림,
TS-04-M01-001,message-send-general.html (모달),템플릿 선택 모달,모달 열기,템플릿 불러오기 버튼 클릭,"템플릿 선택 모달 표시, 템플릿 목록 표시",
TS-04-M02-001,message-send-general.html (모달),템플릿 저장 모달,모달 열기,템플릿 저장 버튼 클릭,템플릿 저장 모달 표시,
TS-04-M03-001,message-send-general.html (모달),엑셀 업로드 모달,모달 열기,엑셀 업로드 버튼 클릭,엑셀 업로드 모달 표시,
TS-04-M04-001,message-send-general.html (모달),발송 확인 모달,모달 열기,발송하기 버튼 클릭,"발송 확인 모달 표시, 발송 정보 요약 표시",
TS-04-M06-001,message-send-general.html (모달),테스트 발송 모달,모달 열기,테스트 발송 버튼 클릭,테스트 발송 모달 표시,
TS-08-001,message-send-election.html,페이지 접속,페이지 로드 확인,message-send-election.html 접속,선거문자 발송 페이지 정상 표시,
TS-08-002,message-send-election.html,탭 이동,선거문자 템플릿 탭 클릭,선거문자 템플릿 탭 클릭,template-message-election.html 페이지로 이동,
TS-08-M01-001,message-send-election.html (모달),manualSendModal,직접 수기 입력 모달 열기,직접 수기 입력 버튼 클릭,직접 수기 입력 모달 표시,
TS-10-001,kakao-send-alimtalk.html,페이지 접속,페이지 로드 확인,kakao-send-alimtalk.html 접속,알림톡 발송 페이지 정상 표시,
TS-10-002,kakao-send-alimtalk.html,탭 이동,브랜드 메시지 발송 탭 클릭,탭 클릭,kakao-send-brandtalk.html 페이지로 이동,
TS-10-003,kakao-send-alimtalk.html,탭 이동,카카오톡 발신 프로필 탭 클릭,탭 클릭,kakao-profile-manage.html 페이지로 이동,
TS-10-006,kakao-send-alimtalk.html,내부 탭,직접입력 탭 선택,직접입력 탭 클릭,직접입력 영역 표시,
TS-10-007,kakao-send-alimtalk.html,내부 탭,주소록 탭 선택,주소록 탭 클릭,주소록 선택 영역 표시,
TS-10-008,kakao-send-alimtalk.html,내부 탭,엑셀 업로드 탭 선택,엑셀 업로드 탭 클릭,엑셀 업로드 영역 표시,
TS-12-001,kakao-profile-manage.html,페이지 접속,페이지 로드 확인,kakao-profile-manage.html 접속,카카오톡 발신 프로필 관리 페이지 정상 표시,
TS-12-003,kakao-profile-manage.html,프로필 등록,프로필 등록 버튼,프로필 등록 버튼 클릭,registerModal 모달 열림,
TS-12-006,kakao-profile-manage.html,브랜드 메시지 신청,브랜드 메시지 신청 버튼,버튼 클릭,brandMessageApplicationModal 모달 열림,
TS-15-001,send-result.html,페이지 접속,페이지 로드 확인,send-result.html 접속,발송결과 페이지 정상 표시,
TS-15-002,send-result.html,탭 이동,예약내역 탭 클릭,예약내역 탭 클릭,send-reservation.html 페이지로 이동,
TS-15-006,send-result.html,상세보기,상세보기 버튼,발송 결과 행의 상세보기 버튼 클릭,detailModal 모달 열림,
TS-16-001,send-reservation.html,페이지 접속,페이지 로드 확인,send-reservation.html 접속,예약내역 페이지 정상 표시,
TS-16-005,send-reservation.html,예약 취소,예약 취소 버튼,예약 행의 취소 버튼 클릭,cancelModal 모달 열림,
TS-17-001,addressbook.html,페이지 접속,페이지 로드 확인,addressbook.html 접속,주소록 관리 페이지 정상 표시,
TS-17-002,addressbook.html,탭 이동,수신거부관리 탭 클릭,수신거부관리 탭 클릭,addressbook-reject.html 페이지로 이동,
TS-17-005,addressbook.html,주소 추가,주소 추가 버튼,주소 추가 버튼 클릭,addAddressModal 모달 열림,
TS-17-006,addressbook.html,그룹 추가,그룹 추가 버튼,그룹 추가 버튼 클릭,addGroupModal 모달 열림,
TS-17-009,addressbook.html,엑셀 업로드,엑셀 업로드 버튼,엑셀 업로드 버튼 클릭,excelUploadModal 모달 열림,
TS-19-001,payment-charge.html,페이지 접속,페이지 로드 확인,payment-charge.html 접속,충전하기 페이지 정상 표시,
TS-19-002,payment-charge.html,탭 이동,충전 내역 탭 클릭,충전 내역 탭 클릭,payment-history.html 페이지로 이동,
TS-19-008,payment-charge.html,예상 견적,예상 견적 버튼,예상 견적 버튼 클릭,estimateModal 모달 열림,
TS-20-001,payment-history.html,페이지 접속,페이지 로드 확인,payment-history.html 접속,충전 내역 페이지 정상 표시,
TS-20-004,payment-history.html,영수증 보기,영수증 버튼,충전 행의 영수증 버튼 클릭,receiptModal 모달 열림,
TS-20-005,payment-history.html,환불 요청,환불 버튼,충전 행의 환불 버튼 클릭,refundModal 모달 열림,
TS-22-001,payment-tax.html,페이지 접속,페이지 로드 확인,payment-tax.html 접속,세금계산서 발행 페이지 정상 표시,
TS-22-003,payment-tax.html,세금계산서 발행,발행 버튼,발행 버튼 클릭,confirmModal 모달 열림,
TS-23-001,mypage-profile.html,페이지 접속,페이지 로드 확인,mypage-profile.html 접속,내 정보 수정 페이지 정상 표시,
TS-23-006,mypage-profile.html,휴대폰 인증,휴대폰 인증 버튼,휴대폰 인증 버튼 클릭,phoneVerifyModal 모달 열림,
TS-23-007,mypage-profile.html,사업자 전환,사업자 전환 버튼,사업자 전환 버튼 클릭,convertBusinessModal 모달 열림,
TS-25-001,mypage-caller-number.html,페이지 접속,페이지 로드 확인,mypage-caller-number.html 접속,발신번호 관리 페이지 정상 표시,
TS-25-003,mypage-caller-number.html,발신번호 등록,발신번호 등록 버튼,발신번호 등록 버튼 클릭,registerModal 모달 열림,
TS-26-001,support-notice.html,페이지 접속,페이지 로드 확인,support-notice.html 접속,공지사항 페이지 정상 표시,
TS-27-001,support-event.html,페이지 접속,페이지 로드 확인,support-event.html 접속,이벤트 페이지 정상 표시,
TS-28-001,support-faq.html,페이지 접속,페이지 로드 확인,support-faq.html 접속,FAQ 페이지 정상 표시,
TS-28-003,support-faq.html,FAQ 아코디언,질문 클릭,FAQ 질문 항목 클릭,답변 영역 펼침/접힘,
TS-29-001,support-inquiry.html,페이지 접속,페이지 로드 확인,support-inquiry.html 접속,1:1 문의 페이지 정상 표시,
TS-29-008,support-inquiry.html,문의 제출,문의하기 버튼,모든 입력 후 문의하기 버튼 클릭,"문의 제출 완료, 목록에 추가됨",
